run_number,subrun_number,event_number
17985,1,58
15343,311,15570
16298,100,5028
15432,79,3992
17855,165,8299
18709,137,6877
18240,105,5276
16008,420,21040
16172,422,21138
15930,526,26304
18474,143,7158
14195,219,10975
18489,54,2718
18489,11,553
14564,48,2442
17206,299,14971
15516,117,5898
14377,142,7133
14377,218,10911
15940,70,3515
15861,99,4959
18232,71,3583
18054,567,28375
14801,126,6343
14801,260,13022
16836,138,6919
16836,176,8803
15946,323,16200
15271,4,245
18257,51,2563
17269,42,2105
15836,52,2622
15836,61,3072
18653,291,14587
14191,92,4608
18644,202,10115
18644,220,11005
16693,100,5003
16720,36,1811
18026,179,8979
18717,141,7079
17097,7,398
18234,63,3158
14300,117,5852
18922,419,21000
16446,1,78
15145,146,7337
14956,119,5973
14956,222,11138
17693,239,11951
18226,145,7266
18516,183,9153
17341,9,496
14392,161,8098
15834,87,4392
16783,64,3222
18903,373,18695
18574,50,2530
14559,32,1602
14654,262,13118
17974,218,10943
18049,100,5009
18590,26,1301
18590,45,2257
15916,123,6199
16112,298,14927
15870,117,5879
16232,118,5904
15101,61,3075
18045,20,1021
18045,40,2045
18668,46,2335
18510,275,13786
18040,107,5379
15970,297,14897
15970,378,18905
15103,52,2605
18731,74,3715
18731,75,3775
18709,255,12776
14887,50,2538
14909,92,4612
18258,87,4360
15103,243,12178
15225,30,1540
18687,366,18329
16738,66,3326
16738,228,11407
14454,21,1094
16842,141,7081
17339,292,14605
14143,19,978
14143,188,9418
16743,108,5413
16852,217,10885
16101,62,3144
16910,77,3868
16824,22,1107
18032,473,23667
15873,308,15433
17240,129,6474
17240,487,24368
18761,103,5171
18761,103,5187
17692,187,9351
14775,51,2570
14382,2,142
14382,13,654
14382,26,1345
18737,62,3127
18737,71,3579
18737,71,3584
17675,108,5411
17675,123,6151
16823,74,3711
18796,29,1477
14392,46,2347
18643,38,1941
18604,56,2838
17756,2,109
16114,3,179
16106,49,2498
17313,100,5015
14290,70,3503
18761,63,3193
16250,24,1222
14874,12,603
17829,53,2671
15297,138,6949
18492,293,14673
16042,88,4438
16869,152,7646
18750,25,1262
15097,156,7822
18938,15,778
15923,67,3397
16761,275,13767
15729,7,394
16421,49,2476
16424,61,3051
18882,132,6626
15509,26,1308
18748,161,8100
16929,76,3802
14998,73,3680
17326,67,3366
16313,172,8624
18673,3,185
17029,51,2584
15250,66,3312
16854,16,824
14205,24,1208
16823,23,1177
15411,27,1392
15411,44,2235
15880,45,2264
14607,226,11309
18665,42,2134
18665,249,12451
16301,70,3529
18588,172,8602
18692,326,16321
16819,19,954
17978,47,2363
18062,84,4209
18062,164,8231
14555,14,745
14334,66,3327
15801,521,26088
17132,207,10356
15416,72,3628
17053,58,2915
17313,40,2031
17313,229,11480
16845,351,17572
16978,392,19631
18862,37,1877
15311,70,3513
16847,19,970
16457,88,4415
17874,85,4268
18489,189,9493
18489,241,12096
17297,10,530
16141,265,13256
18024,410,20524
14554,24,1244
18510,134,6701
18510,239,11963
18644,301,15053
17251,232,11606
15432,35,1791
15432,286,14344
15780,167,8394
18717,39,1981
15975,62,3114
18929,138,6929
16947,27,1382
16947,133,6689
15286,215,10784
16112,32,1620
17314,75,3754
18232,32,1609
15530,90,4532
15727,3,172
18756,44,2232
14974,30,1523
17140,17,884
17985,401,20064
14133,46,2303
16882,24,1244
18218,95,4786
15808,83,4164
16802,412,20610
16125,231,11589
15368,231,11576
15127,71,3561
17793,35,1788
17869,227,11381
16262,69,3463
15161,56,2818
18636,268,13438
15902,316,15839
16295,215,10762
17771,30,1521
15104,6,318
15104,13,661
18612,177,8857
17675,57,2864
14445,114,5746
14445,121,6056
15927,346,17348
18951,361,18071
15266,0,12
18603,377,18886
18511,227,11374
16557,167,8362
16557,167,8363
17972,141,7060
16112,470,23506
17287,79,3973
14152,134,6740
14139,35,1787
14139,263,13200
14901,144,7206
18238,63,3184
14428,181,9070
17146,11,579
17855,178,8950
16883,119,5964
18846,47,2389
17875,115,5760
16949,302,15148
17297,0,38
17270,33,1651
14523,5,256
15701,8,416
16993,13,651
14148,154,7737
14195,81,4084
16437,159,7964
16437,227,11397
16846,3,177
16909,109,5479
15966,156,7830
18697,312,15613
17169,120,6049
15902,33,1665
15589,29,1461
16352,346,17328
18523,82,4122
17390,56,2829
17390,68,3441
14798,58,2924
18645,4,245
17830,56,2825
14549,200,10014
15128,211,10589
16095,28,1418
16440,199,9957
16923,32,1603
16225,230,11506
18001,5,273
18748,241,12060
16081,5,259
18790,295,14767
17256,142,7124
14418,124,6202
15901,339,16958
16299,34,1713
18915,161,8075
16715,357,17900
18232,98,4902
14539,176,8828
15970,76,3806
16089,10,530
17204,217,10875
18242,10,540
18748,53,2686
18519,85,4287
16751,47,2354
15294,10,512
15294,40,2009
17724,18,917
16063,1,99
18697,48,2426
16524,207,10367
14947,30,1543
16424,268,13436
16826,146,7332
16148,209,10463
16148,233,11697
14641,29,1495
17078,78,3946
16919,53,2652
16919,453,22681
16199,345,17260
18922,350,17544
17039,21,1081
18516,447,22388
14227,0,20
14227,31,1571
16489,2,101
14976,106,5339
18703,5,268
18923,44,2228
15053,118,5938
14631,210,10531
15296,165,8279
18646,45,2287
18790,208,10425
15315,27,1383
14816,81,4055
18515,24,1244
15111,179,8990
15111,264,13202
