run_number,subrun_number,event_number
17361,360,18040
15103,15,770
17178,38,1929
17178,77,3861
17178,77,3889
15017,71,3569
15017,98,4914
15182,106,5321
15182,148,7410
15182,148,7444
17415,298,14941
17358,5,282
17358,34,1716
17358,40,2049
17434,13,673
17434,37,1861
17131,142,7123
17240,63,3154
17361,141,7086
15106,280,14048
17559,96,4811
17228,61,3064
17489,286,14328
17475,141,7053
17139,248,12442
17352,207,10352
17352,293,14688
17541,33,1677
17438,0,44
17438,11,555
17080,150,7513
17080,151,7594
17324,11,552
17339,234,11731
17339,238,11938
17360,72,3638
17339,9,500
17312,192,9644
17312,223,11159
15140,65,3278
17410,53,2670
17415,130,6535
17308,45,2298
17537,3,168
17269,12,612
17327,12,639
17193,52,2605
17193,52,2624
17193,52,2633
17352,54,2722
17352,235,11787
17256,150,7530
17256,151,7576
17451,107,5397
17552,152,7608
17219,4,232
17474,49,2497
17251,159,7968
17303,4,240
17303,52,2615
17162,29,1462
17394,71,3581
17240,191,9586
17240,343,17154
17240,401,20089
17371,524,26212
17475,200,10020
17198,81,4072
17219,108,5408
17219,108,5450
17469,1,58
17469,41,2094
17087,136,6802
17251,90,4503
17308,60,3039
17348,12,616
17348,14,705
17152,129,6497
17339,287,14361
15160,185,9286
17382,7,380
17303,23,1172
17303,23,1183
17357,1,83
17357,35,1791
17357,38,1932
17240,212,10640
17250,10,531
17250,24,1244
15111,46,2310
17088,30,1522
17255,11,565
17183,1,64
17506,22,1132
17506,50,2512
17333,90,4502
15014,62,3141
17251,17,868
17251,109,5495
17306,126,6328
17561,107,5386
17561,170,8504
17493,160,8001
17493,186,9301
17493,272,13647
17087,19,984
17087,268,13418
14801,215,10791
14801,283,14183
15078,8,401
17371,475,23771
17371,496,24815
17371,496,24845
15100,4,237
17267,51,2558
15013,56,2805
15013,145,7258
17169,268,13450
17129,11,552
17129,18,918
14968,80,4022
17082,0,23
15167,112,5612
17333,19,972
17317,0,16
17317,17,874
17317,22,1104
17317,22,1131
17095,81,4054
17087,413,20672
17087,413,20677
17249,341,17089
17169,209,10487
17138,20,1010
17138,138,6930
17106,45,2292
15014,59,2972
15014,185,9290
15161,75,3793
15161,125,6296
17415,243,12165
17415,290,14529
17139,110,5515
17269,180,9029
17406,103,5186
17249,191,9599
17249,349,17495
17555,27,1352
17555,30,1529
15172,81,4065
17082,15,761
17082,32,1615
15065,39,1990
15103,37,1883
17162,12,626
17126,142,7140
15160,220,11044
17455,1,59
17407,16,850
17057,87,4399
17158,78,3923
17158,105,5288
17205,132,6616
17205,132,6622
15098,24,1222
15098,70,3515
17195,177,8858
17170,3,157
17170,38,1949
17413,53,2673
17413,149,7456
17139,174,8734
17467,91,4558
17383,113,5687
15014,96,4804
15125,1,73
15125,188,9438
15074,164,8211
15222,22,1121
15222,190,9508
17449,6,302
17413,170,8510
17495,104,5230
17352,167,8385
17352,250,12546
17338,41,2096
17099,17,889
17099,59,2971
15121,23,1173
15121,27,1369
17075,5,280
17075,85,4288
17075,90,4508
17218,79,3971
17459,11,566
17514,43,2152
17238,37,1883
17387,33,1692
15128,80,4044
17235,99,4996
17240,463,23183
14831,143,7197
14831,182,9101
14802,224,11250
17271,51,2584
14801,111,5584
15111,84,4203
17132,323,16175
17256,57,2878
17256,57,2888
17534,85,4265
17334,160,8033
17209,35,1771
17083,121,6077
17383,280,14027
17240,247,12394
17419,68,3414
17524,60,3016
17371,3,155
17204,129,6494
17314,89,4465
17314,89,4498
17205,172,8646
17481,5,252
17139,88,4426
15016,9,458
17208,239,12000
17521,28,1431
17521,39,1991
15122,22,1117
15053,76,3841
15145,27,1390
15145,81,4085
17323,14,739
17383,112,5627
17269,93,4697
17269,107,5374
17220,38,1931
17268,6,311
17268,23,1163
17227,5,268
17101,26,1309
17101,31,1565
17101,63,3192
17481,24,1223
17481,24,1241
17401,52,2621
17401,52,2637
17401,61,3059
17383,482,24102
15054,136,6842
17563,36,1836
17563,45,2254
17249,274,13707
17522,39,1959
17522,39,1963
17522,137,6895
17522,141,7083
17348,3,169
17111,131,6565
17388,44,2210
17492,5,274
15123,5,295
15086,191,9574
17341,66,3338
17301,76,3805
17301,85,4294
17313,57,2885
17313,154,7745
17327,47,2359
17327,143,7184
17122,15,794
17287,135,6783
17358,41,2075
14882,124,6222
17132,249,12459
17132,249,12461
17132,249,12500
17389,38,1947
15115,90,4518
17530,153,7680
17489,177,8875
15053,165,8263
17301,54,2730
15181,66,3313
15181,71,3590
17160,24,1248
17494,164,8205
17494,207,10358
17316,23,1183
15011,5,292
15011,8,407
15117,2,140
15117,146,7322
15017,35,1797
15101,26,1323
17398,71,3571
17559,12,650
17352,165,8297
17232,108,5440
15166,158,7908
17090,77,3863
17487,26,1346
17500,31,1560
17500,46,2337
17108,9,491
17108,28,1401
17125,93,4669
17371,247,12353
17371,320,16018
17371,320,16019
17371,402,20101
17185,19,1000
17169,276,13816
17080,77,3860
17522,164,8211
17497,112,5629
17132,74,3743
17506,7,365
17506,61,3057
17159,30,1504
15118,3,191
15118,86,4337
17078,70,3516
17140,81,4063
17140,84,4235
17140,95,4755
17087,394,19711
17087,394,19741
17339,74,3701
17339,99,4995
17177,66,3350
17177,72,3622
17494,111,5563
17494,116,5829
17494,197,9894
17251,82,4106
17075,101,5066
17271,162,8141
17137,75,3753
17523,18,945
17348,20,1001
15222,46,2311
17157,26,1322
17243,70,3531
17243,77,3876
17271,34,1713
17271,37,1871
17475,20,1022
17475,20,1042
17206,100,5049
17497,101,5079
15013,72,3608
15086,49,2498
15086,106,5340
15086,152,7636
17079,22,1125
17079,29,1477
14921,44,2248
17100,93,4668
17100,192,9612
17301,39,1988
17545,7,398
17489,41,2082
17489,41,2098
17409,48,2423
17409,67,3352
17407,60,3002
17407,60,3027
17407,107,5371
15151,154,7701
15151,154,7711
15114,34,1701
17199,66,3326
14938,248,12445
17522,62,3110
17361,98,4942
15222,164,8244
15073,173,8664
17111,211,10577
17240,232,11619
17240,232,11631
17419,8,421
17152,0,28
17239,144,7210
17239,230,11546
17267,105,5294
17484,213,10674
17265,99,4957
17265,177,8877
15099,169,8477
17478,146,7324
17157,34,1716
17157,45,2279
17157,45,2282
17269,157,7873
17505,131,6567
17281,51,2583
17057,71,3578
17057,71,3600
17057,125,6263
