run_number,subrun_number,event_number
18740,78,3944
16075,11,599
16075,25,1300
16075,231,11599
16196,108,5447
16028,350,17535
15897,2,140
15897,66,3313
15954,328,16427
18900,140,7023
18900,62,3127
15676,57,2896
16267,75,3795
18044,132,6608
15981,225,11270
15981,247,12384
16041,215,10775
18717,56,2838
18717,89,4451
18929,44,2242
16731,438,21909
16731,438,21947
16186,320,16005
15916,321,16076
15927,78,3932
18603,10,513
18748,99,4959
16276,18,913
16851,230,11548
15920,59,2971
15917,365,18270
16089,171,8585
16112,68,3446
16186,324,16201
15486,82,4104
14151,75,3785
14125,69,3479
18907,90,4535
18037,14,710
18037,31,1600
15433,115,5795
15589,54,2737
18527,243,12169
18527,712,35604
15976,43,2164
15422,49,2476
14297,255,12782
14183,4,218
15301,37,1870
15981,380,19030
18794,313,15654
15960,202,10108
15960,421,21077
15701,129,6485
15382,32,1615
15382,133,6674
16845,377,18866
16205,390,19507
17759,28,1408
16036,153,7699
18574,207,10387
16227,141,7095
16851,322,16143
16851,356,17825
15877,203,10177
15877,203,10190
15877,259,12977
16295,124,6223
16693,242,12129
15436,163,8158
16923,79,3972
16210,191,9570
15593,219,10996
15328,77,3851
15328,150,7550
16403,15,798
16403,24,1229
18699,123,6168
16964,20,1048
16964,488,24407
16964,488,24410
16826,350,17501
15930,198,9937
15980,26,1334
15917,127,6375
18235,205,10264
16022,83,4159
16022,83,4170
16152,89,4456
18863,26,1341
15989,256,12820
18770,22,1104
18761,39,1985
15902,111,5554
18781,110,5522
16584,25,1287
18218,310,15546
15430,119,5991
18024,207,10359
16734,157,7854
14139,86,4330
16286,67,3376
18948,8,444
18272,42,2126
15875,216,10829
18846,16,846
15902,121,6076
16286,299,14965
14156,25,1296
16298,51,2579
18242,18,932
18242,163,8180
15330,76,3840
16750,24,1226
16750,111,5570
16849,152,7608
16738,220,11049
17029,148,7449
15948,7,386
14138,16,828
17033,10,534
16281,382,19124
15640,99,4964
17045,72,3611
15634,56,2815
17956,114,5721
16122,300,15038
16458,73,3693
16458,101,5075
18750,175,8786
15328,116,5838
15940,47,2366
15940,227,11364
16821,13,678
16821,44,2241
15345,24,1240
15969,514,25732
16096,101,5065
16096,111,5565
18748,15,789
16289,7,394
16947,273,13686
18795,230,11533
18048,396,19803
15291,247,12393
18678,299,14993
16104,84,4204
14206,121,6089
15589,264,13221
15589,293,14700
16856,6,334
16856,47,2371
14297,137,6885
14297,189,9477
18748,241,12098
15530,16,841
15262,141,7089
18242,206,10344
17004,16,801
15353,61,3059
18514,33,1652
15223,14,737
15291,278,13927
18779,237,11892
18863,94,4716
16271,36,1837
18632,181,9062
18764,7,384
18740,127,6370
16141,149,7464
18922,563,28182
18677,115,5787
15316,93,4663
18212,66,3301
18212,66,3302
16272,15,774
14134,146,7310
15350,39,1964
15324,36,1842
14211,21,1067
18786,14,747
16199,177,8886
17699,50,2510
15915,335,16756
15946,82,4111
15478,95,4761
18784,29,1464
15484,62,3134
15484,163,8194
16147,193,9694
15403,208,10416
16453,286,14334
18926,101,5070
18282,29,1470
16950,16,828
15265,38,1907
15312,27,1374
18265,86,4304
15286,74,3708
15875,311,15594
18922,123,6179
15368,229,11483
14149,35,1790
15343,2,134
15343,239,11953
16106,62,3103
16106,62,3142
16834,234,11720
16272,215,10781
16286,304,15206
16286,475,23758
15774,175,8772
15514,88,4447
14159,87,4393
16527,2,106
15249,89,4456
16446,225,11281
16167,10,532
16935,225,11280
15457,103,5173
14122,90,4503
14122,90,4506
18510,364,18237
15383,184,9209
15337,45,2288
16060,128,6402
16060,128,6413
15915,375,18788
18508,136,6806
18492,339,16995
15377,83,4198
14206,11,567
15447,236,11833
15243,54,2705
18054,306,15339
14244,29,1492
17865,275,13800
16080,19,965
15479,226,11314
16979,28,1414
16965,38,1936
18677,501,25051
18677,543,27185
16551,337,16851
15416,9,496
18574,69,3477
16051,92,4623
15397,14,728
16890,159,7964
17043,117,5879
18044,176,8819
18900,42,2119
15498,6,344
16849,168,8413
16809,229,11472
16916,24,1224
15970,416,20822
16313,66,3302
16313,66,3331
16504,39,1990
15517,65,3298
16738,76,3835
16314,26,1308
18903,30,1549
16446,242,12142
15421,204,10207
18754,75,3761
16992,49,2451
16125,141,7082
18701,184,9224
18701,184,9236
15292,85,4260
16158,82,4119
15227,21,1072
16031,9,481
16031,22,1116
15270,61,3052
18666,117,5864
15877,137,6879
16891,110,5531
15238,83,4187
18795,89,4486
17759,31,1588
15252,18,921
16101,89,4455
15478,215,10800
16694,25,1271
16694,302,15112
14123,136,6807
17044,84,4239
16867,184,9210
15254,147,7391
18048,413,20669
15634,191,9556
14246,19,968
16845,354,17730
16845,426,21330
16472,33,1684
14161,95,4786
16403,10,512
18903,82,4127
18903,91,4579
18903,242,12141
18685,139,6995
16125,17,871
15377,85,4254
15588,227,11399
15328,138,6919
18928,186,9350
16869,50,2501
15328,42,2126
16506,290,14510
16786,45,2287
18923,238,11923
18225,260,13002
18225,260,13032
18643,105,5256
16573,229,11452
15634,29,1452
18732,536,26812
15348,85,4300
16169,82,4111
16159,24,1245
18929,9,481
15412,207,10398
16112,156,7832
16823,24,1246
