run_number,subrun_number,event_number
16889,133,6682
16210,29,1493
17494,192,9613
15588,21,1070
15588,21,1098
14250,48,2438
14642,55,2763
14642,85,4285
14902,0,29
16588,59,2982
17205,210,10505
14376,81,4072
14272,40,2045
17287,5,283
16835,52,2611
16191,27,1376
15466,29,1480
16021,9,453
15228,18,907
16970,80,4043
16970,116,5814
16340,290,14545
14279,272,13602
15517,108,5447
16188,72,3608
15254,130,6546
14725,107,5357
14725,144,7246
16301,160,8038
17208,105,5286
15361,38,1914
15783,81,4093
15136,3,155
16428,133,6682
17303,4,233
16203,33,1656
15925,4,222
14749,294,14732
15590,318,15936
15877,124,6207
16312,20,1042
16312,89,4462
14903,222,11116
14644,26,1313
14644,50,2543
15291,24,1212
15291,305,15279
16298,53,2655
17055,447,22394
14274,61,3082
14545,117,5865
14541,202,10122
14464,117,5876
16420,41,2051
16994,129,6455
17361,346,17337
16173,208,10449
17451,58,2912
14802,32,1617
15160,73,3676
16731,317,15857
14455,172,8601
16405,11,590
16458,15,797
14356,45,2278
16934,106,5350
14410,235,11775
15426,102,5108
15403,107,5370
15403,114,5724
15727,12,634
15774,343,17170
16633,5,255
16633,8,410
16121,47,2362
17524,307,15387
14773,8,402
15954,327,16364
14261,12,617
17524,268,13422
15989,373,18696
14159,127,6377
14246,58,2931
16428,226,11328
16340,251,12558
14819,3,158
15106,192,9603
17497,223,11176
14153,32,1623
14807,201,10081
14644,224,11234
14816,13,682
16776,192,9601
16786,24,1223
16888,368,18410
14548,98,4919
15593,42,2112
15053,11,558
15877,61,3074
15877,189,9491
16634,13,690
16199,234,11710
14521,22,1137
14512,4,203
14921,37,1896
16509,6,319
14556,255,12796
16219,211,10565
16219,224,11214
14893,159,7999
14626,229,11463
14805,240,12031
14888,185,9251
16685,29,1481
15859,348,17411
14716,71,3552
14347,64,3219
15135,4,217
16668,88,4444
14818,116,5823
17535,16,811
17055,332,16612
16107,18,908
15478,356,17811
16826,202,10129
15987,51,2553
16078,14,701
14914,179,8955
14914,205,10296
14544,121,6091
16117,7,374
16117,51,2592
17419,68,3438
14218,2,136
14772,256,12850
14219,18,908
14790,37,1865
14790,70,3532
14796,72,3647
14796,105,5253
14760,131,6575
17271,88,4445
16826,352,17648
16890,79,3975
17560,57,2859
14770,106,5307
17305,10,515
16169,25,1264
14878,186,9332
17027,21,1095
14875,4,238
14805,37,1857
14644,81,4094
15589,223,11169
16935,187,9371
16744,260,13030
16744,270,13520
16685,146,7338
15073,142,7148
17313,150,7509
15390,6,337
16172,208,10411
16172,444,22212
14410,68,3427
14410,214,10745
15500,49,2478
17371,87,4377
14223,140,7027
14223,183,9168
15099,54,2737
15099,144,7216
16994,243,12179
17458,3,182
17458,114,5718
14327,35,1769
15588,216,10803
14891,128,6438
17260,31,1574
15500,120,6018
16904,3,166
15054,14,707
15961,85,4287
15099,47,2389
17268,5,295
16386,8,443
15061,46,2308
15762,214,10744
16310,323,16194
16466,100,5013
16960,226,11346
14271,166,8323
16071,11,598
16071,80,4048
14445,14,731
14541,38,1927
15966,98,4931
15966,379,18963
15061,232,11643
14812,300,15046
14886,2,125
14886,32,1611
15398,372,18606
15160,39,1974
14789,130,6524
14789,138,6929
14899,58,2947
14976,12,639
17139,39,1981
15377,92,4632
15009,0,35
15009,29,1497
14133,0,34
14138,68,3421
17534,136,6832
14985,99,4953
15591,150,7515
17309,89,4454
15031,17,866
17505,144,7216
16877,116,5838
14452,51,2580
15422,144,7210
14807,301,15071
14644,132,6636
14644,179,8993
14538,35,1789
16856,46,2337
14631,36,1807
16094,187,9356
15297,7,379
14772,18,912
14772,124,6232
16341,311,15581
16341,410,20536
14368,47,2374
14436,55,2761
14293,223,11152
14293,223,11190
16437,258,12912
16849,192,9610
14792,2,130
14900,26,1318
16466,18,919
15415,21,1083
15415,21,1086
17488,304,15244
14797,28,1423
15883,12,618
15160,175,8775
15160,370,18511
17132,92,4645
16469,38,1943
15528,175,8800
14654,86,4316
16199,313,15686
17482,118,5948
16993,176,8820
14216,53,2668
17004,235,11752
15466,147,7372
14269,149,7495
15415,94,4710
14553,170,8521
14117,30,1511
14117,39,1989
14641,141,7099
14807,63,3173
14558,118,5946
16666,97,4876
15528,210,10546
16793,27,1364
14537,117,5860
14758,193,9678
15677,84,4236
17457,75,3754
15282,96,4843
16867,30,1538
17083,47,2393
14881,119,5973
16023,212,10643
15780,40,2027
15502,82,4113
14597,136,6838
16551,194,9746
15236,0,29
15236,110,5505
14715,27,1372
15279,133,6696
17522,112,5607
14756,71,3554
14564,127,6397
17210,124,6226
17218,36,1801
16158,288,14446
17352,30,1522
17036,154,7750
16727,217,10883
17001,33,1661
17001,48,2401
14227,116,5835
17137,66,3344
14667,93,4664
14427,37,1890
17313,136,6831
17373,100,5046
17506,77,3865
15528,202,10117
15528,205,10276
15133,67,3378
14924,213,10689
16058,221,11083
14878,94,4750
16144,57,2882
14207,41,2085
16337,1,93
14410,7,399
14290,119,5967
14157,31,1593
15351,51,2580
14805,297,14892
15961,334,16706
15478,264,13240
17126,145,7258
16761,104,5247
15757,0,38
14771,262,13118
14771,262,13146
14338,279,13985
15713,108,5403
14195,202,10107
14195,202,10141
17495,76,3808
15428,66,3315
14245,47,2352
14135,50,2550
17239,24,1228
17489,251,12588
16370,0,44
16370,11,590
14377,181,9094
16944,158,7923
17365,9,500
16339,0,43
16668,61,3080
14363,175,8790
14631,151,7557
14631,169,8476
14637,86,4322
16312,212,10622
14981,143,7152
14981,250,12519
14741,289,14464
17451,10,516
15383,117,5851
16524,69,3464
14335,183,9187
14297,182,9127
14793,124,6221
14390,91,4598
16874,181,9061
15116,229,11474
15915,401,20074
15458,48,2416
16119,351,17591
17087,243,12197
14712,29,1466
14617,77,3889
14452,36,1827
14270,220,11006
17239,268,13449
15450,202,10124
15361,27,1352
15370,7,400
16826,189,9465
17036,248,12421
16022,284,14245
16022,389,19451
15877,133,6679
15151,308,15406
14545,3,159
14545,103,5154
16008,281,14068
15402,0,8
15402,15,788
17160,14,718
17552,87,4354
15330,105,5281
16400,29,1498
16451,14,704
14902,5,259
17524,236,11839
16094,120,6007
16422,7,352
15482,107,5381
14158,8,450
16036,453,22654
15466,55,2793
15361,97,4877
14243,26,1302
14243,53,2690
14243,111,5586
16119,386,19339
14746,144,7224
14746,294,14721
14207,21,1060
16186,173,8651
14467,114,5720
15129,42,2112
15129,42,2133
