method,model,weight_file,input_file,mass_token,entry_number,n_pixels,plane,layer_name,occlusion_size,reason,base_signal_score,base_background_score,active_threshold,active_frac,topk_frac,overlap_topk_signal,overlap_topk_background,has_curves,sig_global_iou@0.01,sig_global_recall@0.01,sig_global_precision@0.01,sig_global_components@0.01,sig_activeonly_iou@0.01,sig_activeonly_recall@0.01,sig_activeonly_precision@0.01,bkg_global_iou@0.01,sig_attr_q99_on_active,sig_attr_max_on_active,sig_pos_frac_active,auc_insertion_signal,auc_deletion_signal,ins_sig_frac_to_90,del_sig_frac_to_50,meta_path
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_nu_overlay_larcv_cropped.root,,4953,1813,0,,16,A_high_tail,0.9995852112770081,0.0004399578319862485,0.0,0.006916046142578125,0.01,0.6577642121327737,0.6577642121327737,True,0.6361623616236163,0.9509100937672367,0.6577642121327737,46,0.009928295642581356,0.009928295642581356,1.0,0.6361623616236163,0.04445016384124756,0.0671127438545227,0.7380033094318809,0.952058271318674,0.20141981542110446,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_4953__nu_overlay_meta_16.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_nu_overlay_larcv_cropped.root,,4953,1813,0,,2,A_high_tail,0.9995852112770081,0.0004399578319862485,0.0,0.006916046142578125,0.01,0.6856161770316673,0.6863792445631438,True,0.6814562002275313,0.9911748483177054,0.6856161770316673,48,0.009928295642581356,0.009928295642581356,1.0,0.6827324478178368,0.0010770225524902282,0.009164273738861084,0.6712630998345284,0.9520647265017033,0.32131249383091925,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_4953__nu_overlay_meta_2.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_nu_overlay_larcv_cropped.root,,4953,1813,0,,4,A_high_tail,0.9995852112770081,0.0004399578319862485,0.0,0.006916046142578125,0.01,0.679511636779855,0.679511636779855,True,0.6713154918959668,0.9823496966354109,0.679511636779855,49,0.009928295642581356,0.009928295642581356,1.0,0.6713154918959668,0.0027994632720946887,0.009525716304779053,0.7015995587424159,0.9520422197878361,0.375516863912344,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_4953__nu_overlay_meta_4.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_nu_overlay_larcv_cropped.root,,4953,1813,0,,8,A_high_tail,0.9995852112770081,0.0004399578319862485,0.0,0.006916046142578125,0.01,0.6734070965280428,0.673788630293781,True,0.6612963656800299,0.9735245449531164,0.6734070965280428,46,0.009928295642581356,0.009928295642581356,1.0,0.6619190404797601,0.006541650295257487,0.013799667358398438,0.7413127413127413,0.9520577766001225,0.5129427172243596,0.1,0.7000000000000001,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_4953__nu_overlay_meta_8.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,952,331,0,,16,A_high_tail,0.9865654110908508,0.013587773777544498,0.0,0.001262664794921875,0.01,0.08737123235406334,0.08737123235406334,True,0.08409842085934631,0.6918429003021148,0.08737123235406334,5,0.00906344410876133,0.00906344410876133,1.0,0.08409842085934631,0.8913989424705503,0.9268144965171814,0.5347432024169184,0.9418206669390201,0.07288661603815853,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_952__dirt_meta_16.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,952,331,0,,2,A_high_tail,0.9865743517875671,0.013578732497990131,0.0,0.001262664794921875,0.01,0.11560473101869516,0.11560473101869516,True,0.1143827859569649,0.9154078549848943,0.11560473101869516,7,0.00906344410876133,0.00906344410876133,1.0,0.1143827859569649,0.21153140068054135,0.45362740755081177,0.716012084592145,0.9422205911949277,0.06998052457347512,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_952__dirt_meta_2.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,952,331,0,,4,A_high_tail,0.9865654110908508,0.013587773777544498,0.0,0.001262664794921875,0.01,0.10644792064097673,0.10644792064097673,True,0.10437710437710437,0.8429003021148036,0.10644792064097673,8,0.00906344410876133,0.00906344410876133,1.0,0.10437710437710437,0.49919986724853516,0.5473792552947998,0.6827794561933535,0.9415111519396305,0.07220936529338359,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_952__dirt_meta_4.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,952,331,0,,8,A_high_tail,0.9865743517875671,0.013578732497990131,0.0,0.001262664794921875,0.01,0.08813429988553988,0.08813429988553988,True,0.08489525909592062,0.6978851963746223,0.08813429988553988,6,0.00906344410876133,0.00906344410876133,1.0,0.08489525909592062,0.83063416481018,0.8554812669754028,0.5921450151057401,0.9413624392822385,0.07501691752113403,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_952__dirt_meta_8.txt
occlusion,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,,1138,1214,0,,16,A_high_tail,0.8087025880813599,0.18993893265724182,0.0,0.00463104248046875,0.01,0.4612743227775658,0.4612743227775658,True,0.4603960396039604,0.9958813838550247,0.4612743227775658,20,0.009884678747940691,0.009884678747940691,1.0,0.4603960396039604,0.7849650979042053,0.7909411787986755,0.8616144975288303,0.7720371499657632,0.17297807559370992,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/resnet34_gn/occlusion__ENTRY_1138__offbeam_meta_16.txt
occlusion,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,,1138,1214,0,,2,A_high_tail,0.8086745142936707,0.18996694684028625,0.0,0.00463104248046875,0.01,0.46318199160625717,0.46318199160625717,True,0.46318199160625717,1.0,0.46318199160625717,20,0.009884678747940691,0.009884678747940691,1.0,0.46318199160625717,0.6602478295564617,0.7688108682632446,0.49835255354200986,0.7778596356511116,0.22319182008504873,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/resnet34_gn/occlusion__ENTRY_1138__offbeam_meta_2.txt
