run_number,subrun_number,event_number,signal_score,weight
6653,139,6962,0.0057777697220444,1.4344951968
6594,110,5518,0.0221831873059272,1.14977
6336,61,3098,0.0018837514799088,1.02331
6431,66,3329,0.0055369180627167,1.11607
6431,73,3655,0.0018201528582721,0.849683
6431,74,3711,0.0053976378403604,0.930629
6653,61,3051,0.0016982993111014,1.01327
6653,64,3210,0.0029089471790939,0.848643
6653,66,3302,0.0120994849130511,0.946957
6533,103,5180,0.0015525809722021,1.02233
6533,132,6629,0.0046621304936707,0.950135
6339,39,1954,0.0090910494327545,1.0082
6427,52,2617,0.0033842816483229,1.04545
6671,120,6023,0.0020036352798342,1.16294393549
6686,13,652,0.9880300164222716,0.609399
6666,185,9264,0.0072251320816576,1.5997815388
6425,42,2120,0.0110870562493801,0.69450556257
6425,44,2218,0.0081530287861824,1.01987
6406,53,2698,0.0048966268077492,1.02934
6507,95,4783,0.0068438095040619,1.0938
6507,100,5046,0.003468609880656,0.715134
6313,14,728,0.0028405301272869,0.697283
6480,64,3207,0.0033884672448039,1.21869
6533,30,1501,0.0027777648065239,1.09431
6440,117,5851,0.0069581461139023,0.894826
6440,120,6021,0.0108686788007617,1.2173654192999999
6388,5,266,0.0053242547437548,1.0961
6680,34,1732,0.00390963582322,1.25209
6371,31,1590,0.0026911664754152,1.01558
6483,61,3072,0.1848913878202438,1.0
6748,215,10774,0.0069211013615131,0.001643682852
6479,26,1345,0.0159635543823242,0.913157
6479,34,1712,0.1385203301906585,0.738262
6379,73,3659,0.0027310396544635,0.574715
6565,41,2070,0.004277316853404,0.589312
6689,70,3536,0.0058888411149382,0.250107
6689,71,3580,0.0077865170314908,1.04224
6689,72,3643,0.04457863047719,1.02271
6426,179,8995,0.0063552274368703,0.828891
6426,180,9046,0.0100687714293599,0.655559
6441,124,6218,0.0027869164478033,1.0
6697,126,6324,0.0034072350244969,0.54912005638
6697,134,6705,0.0020025889389216,0.944337
6589,105,5300,0.002082830062136,1.02442
6589,106,5314,0.0034560994245111,1.0727
6690,31,1554,0.003256469964981,0.806748
6690,31,1584,0.0039111082442104,0.775255
6690,33,1687,0.0041307443752884,0.948868
6690,34,1718,0.0713093280792236,0.900489
6631,108,5413,0.0058983950875699,1.03872
6380,124,6225,0.0045390566810965,1.23228
6380,124,6245,0.0147928278893232,0.989819
6380,125,6258,0.0083475727587938,0.608455
6688,1,85,0.0037193966563791,1.4720716542
6341,134,6720,0.0907082855701446,0.978709
6521,59,2951,0.0404871590435504,0.45124
6377,23,1180,0.0030532095115631,1.02963
6377,24,1212,0.0063806162215769,0.9147481537800001
6377,28,1413,0.0033728915732353,0.873267
6572,159,7999,0.4216361045837402,1.0
6423,148,7421,0.0033242884092032,0.992481
6440,195,9754,0.0042860400862991,0.909271
6572,212,10606,0.024013452231884,0.957265
6572,212,10611,0.0159887429326772,1.15974
6547,45,2251,0.0084436470642685,0.527933
6535,200,10012,0.0025996444746851,0.55398
6693,11,565,0.003625510726124,2.64294157113
