dataset,folder,model_key,weight_file,root_file,entry_number,n_pixels,out_dir,tag
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,452,277,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail+C_weird_lowpix/run1_samples/mpid,A_high_tail+C_weird_lowpix
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,1138,1214,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid,A_high_tail
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,2256,946,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid,A_high_tail
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,2627,328,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid,A_high_tail
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,3374,666,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border/run1_samples/mpid,B_border
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,2559,3319,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border+D_busy/run1_samples/mpid,B_border+D_busy
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,758,218,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border+C_weird_lowpix/run1_samples/mpid,B_border+C_weird_lowpix
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,2265,1030,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border/run1_samples/mpid,B_border
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,3775,3581,/vols/sbn/uboone/an1522/cam_methods/occlusion/D_busy/run1_samples/mpid,D_busy
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,3072,2774,/vols/sbn/uboone/an1522/cam_methods/occlusion/D_busy/run1_samples/mpid,D_busy
