run_number,subrun_number,event_number
6637,27,1372
6637,33,1670
6479,60,3048
6575,37,1880
6575,42,2105
6575,42,2106
6603,45,2285
6525,54,2744
6630,1,56
6630,7,361
6408,11,594
6347,74,3711
6571,140,7007
6359,30,1516
6359,30,1525
6404,185,9280
6507,122,6121
6466,2,112
6466,5,275
6461,40,2016
6461,40,2036
6565,222,11110
6688,33,1684
6583,136,6848
6668,3,196
6698,55,2760
6407,27,1355
6502,0,5
6502,2,142
6502,3,173
6381,5,292
6619,59,2985
6619,60,3036
6619,61,3063
6671,125,6255
6614,8,435
6668,121,6058
6668,123,6173
6668,124,6223
6680,74,3732
6407,49,2464
6353,76,3826
6572,24,1238
6572,24,1244
6559,29,1476
6559,37,1887
6362,81,4085
6440,154,7736
6440,156,7847
6440,162,8149
6590,60,3040
6441,24,1206
6692,55,2764
6666,55,2768
6353,36,1847
6697,1,54
6402,17,868
6402,17,873
6343,126,6336
6649,54,2710
6468,50,2538
6598,133,6667
6683,30,1512
6683,30,1525
6683,30,1537
6683,32,1645
6621,21,1061
6425,118,5917
6425,122,6142
6401,87,4372
6401,98,4921
6387,66,3345
6387,72,3631
6387,72,3643
6410,108,5419
6446,45,2262
6659,28,1422
6659,29,1495
6659,33,1690
6533,22,1148
6533,24,1210
6533,24,1225
6533,24,1227
6533,26,1301
6533,29,1471
6663,186,9347
6563,74,3710
6563,76,3809
6563,79,3994
6527,66,3343
6489,18,905
6666,97,4884
6666,99,4992
6332,61,3092
6374,14,734
6588,49,2494
6588,53,2693
6588,53,2696
6591,172,8632
6622,15,769
6622,15,796
6602,38,1906
6563,12,633
6563,15,770
6483,111,5587
6483,114,5721
6483,115,5796
6653,10,542
6540,46,2311
6540,47,2360
6461,46,2321
6330,19,992
6687,106,5315
6605,55,2775
6404,2,147
6404,10,548
6467,53,2685
6382,86,4317
6382,88,4439
6480,19,969
6609,3,153
6609,17,874
6579,110,5502
6579,114,5727
6371,57,2852
6575,69,3454
6575,69,3493
6575,72,3621
6575,72,3644
6611,153,7691
6362,53,2656
6467,31,1597
6600,39,1994
6600,43,2176
6630,110,5509
6553,83,4167
6553,87,4372
6529,52,2624
6529,58,2909
6529,58,2915
6371,0,16
6579,61,3058
6668,26,1309
6494,5,264
6362,78,3944
6483,51,2575
6547,30,1511
6340,125,6256
6341,50,2541
6427,103,5183
6446,73,3672
6382,67,3383
6382,71,3582
6605,178,8904
6375,60,3022
6375,61,3100
6387,132,6614
6387,136,6826
6426,188,9413
6426,189,9464
6379,7,363
6379,7,399
6690,163,8157
6387,149,7494
6552,19,984
6552,21,1070
6530,5,275
6530,5,283
6664,108,5414
6664,116,5841
6664,116,5847
6640,89,4473
6640,95,4787
6668,46,2309
6668,48,2431
6668,49,2496
6347,156,7828
6347,157,7897
6527,176,8828
6527,181,9079
6339,164,8211
6401,65,3284
6401,68,3433
6173,155,7785
6343,179,8990
6404,52,2602
6404,55,2794
6362,11,551
6366,95,4772
6611,66,3338
6369,61,3090
6457,26,1325
6170,40,2014
6590,33,1668
6487,83,4200
6487,87,4373
6517,33,1671
6695,17,857
6695,20,1034
6337,30,1550
6615,13,698
6572,58,2928
6656,52,2632
6698,145,7300
6698,146,7345
6698,147,7387
6698,148,7443
6666,106,5321
6691,31,1574
6549,81,4074
6544,146,7304
6360,107,5363
6360,110,5525
6423,158,7946
6632,0,5
6632,8,415
6659,45,2275
6659,47,2381
6340,25,1272
6341,145,7260
6341,147,7398
6630,127,6359
6533,113,5672
6502,56,2816
6655,3,163
6346,54,2719
6489,109,5496
6689,28,1448
6665,2,127
6402,3,165
6381,189,9475
6680,121,6089
6680,129,6457
6480,92,4609
6480,99,4974
6590,23,1179
6649,25,1289
6546,25,1292
6546,26,1349
6594,115,5790
6683,137,6879
6664,49,2479
6405,41,2068
6669,104,5203
6669,106,5310
6375,53,2655
6572,170,8507
6572,171,8573
6548,41,2055
6615,87,4375
6615,128,6410
6615,128,6449
6692,1,75
6692,4,203
6563,51,2574
6446,118,5915
6446,119,5966
6446,122,6132
6348,2,109
6647,118,5913
6647,118,5941
6359,20,1049
6590,3,169
6590,5,265
6590,7,360
6594,95,4765
6347,115,5777
6669,12,650
6381,147,7398
6605,59,2960
6475,0,12
6475,4,242
6475,9,500
6697,83,4166
6697,84,4226
6672,58,2924
6338,34,1706
6605,143,7164
6605,145,7294
6670,22,1123
6670,23,1184
6670,25,1267
6632,11,573
6569,5,300
