run_number,subrun_number,event_number
7516,74,3712
7726,44,2248
6879,112,5615
7054,1135,56800
6837,203,10181
5441,59,2958
7142,79,3984
6487,99,4962
5564,16,833
6866,44,2221
6866,63,3190
6206,3,177
6800,122,6143
7128,39,1984
6664,121,6063
6664,124,6242
7008,160,8026
6798,1,69
7634,138,6904
5582,38,1914
7054,590,29522
7054,596,29809
7349,303,15198
6989,152,7620
6989,153,7676
6896,21,1087
5027,1,89
5065,25,1298
6288,176,8847
7018,490,24537
7025,226,11319
7485,86,4344
5191,34,1746
6140,35,1787
5458,64,3245
6777,193,9694
7117,1,53
5616,77,3871
6951,32,1619
5151,141,7092
7014,1094,54705
7079,55,2783
5914,106,5340
7023,533,26675
5777,9,491
6776,12,625
5459,158,7922
6404,197,9888
6641,25,1299
5988,26,1322
5988,32,1642
6417,3,153
5418,69,3469
5418,70,3542
5331,169,8470
7116,45,2293
7017,99,4986
5384,92,4624
7124,24,1232
6871,3,171
6100,128,6446
5455,14,738
5622,15,777
6546,66,3343
6546,70,3510
6692,12,642
7059,58,2904
5385,183,9199
5969,32,1601
7017,1373,68684
6549,49,2456
7014,239,11965
6786,140,7003
6462,56,2806
6462,56,2843
6749,94,4713
5384,190,9511
6371,25,1289
5184,17,851
7544,46,2318
7012,291,14574
7146,4,228
6115,123,6195
5029,141,7060
6436,4,233
5458,136,6827
7096,11,598
5399,35,1782
7003,1533,76656
7003,1534,76734
5487,89,4484
5527,25,1267
6384,5,275
6798,166,8317
7049,1391,69583
6326,78,3941
6975,155,7796
7014,879,43997
7017,1667,83356
6879,65,3258
6885,17,858
6529,21,1061
6529,22,1145
6360,27,1382
6360,33,1688
6323,59,2997
6625,5,259
6507,96,4829
7082,9,459
7082,9,486
6978,218,10940
6978,227,11351
6800,171,8555
6327,5,291
6768,31,1584
6790,74,3713
6790,74,3743
6111,83,4189
6582,48,2437
6669,120,6027
7004,898,44943
6383,4,240
7006,422,21119
7054,1773,88651
7003,1627,81351
6859,183,9198
7528,80,4041
6571,83,4172
6692,121,6096
7373,63,3189
7054,134,6709
6551,20,1036
6551,23,1199
7491,59,3000
6975,149,7487
7004,527,26375
6782,9,491
7001,722,36122
7079,16,814
7079,17,880
6773,82,4138
6482,23,1183
6482,28,1445
6482,31,1560
6991,65,3263
6288,33,1657
6507,152,7604
7143,0,38
7415,22,1115
7415,23,1151
7124,4,229
6888,182,9138
6763,23,1159
5910,1,62
5910,9,469
7390,46,2350
5942,13,677
7055,0,9
6226,2,122
6226,6,349
7117,12,618
7117,13,680
6004,7,382
6805,138,6911
7332,7,387
6332,73,3697
6559,42,2121
6668,65,3260
6668,69,3477
6671,46,2309
6497,51,2562
6497,77,3863
6482,64,3235
6001,10,509
7742,104,5247
7729,187,9351
7165,20,1013
7165,20,1022
7010,702,35141
7112,70,3537
7057,32,1611
7057,32,1644
6103,23,1155
7126,35,1771
7117,7,354
7117,7,389
6367,20,1043
6367,22,1105
6749,191,9567
6118,166,8304
7502,8,427
7004,351,17559
6285,48,2445
6230,135,6768
7085,15,798
6300,63,3182
6300,86,4305
7115,26,1326
6959,30,1504
6355,42,2115
6355,46,2323
6369,52,2629
6573,63,3151
7051,64,3206
7375,27,1396
7727,30,1536
7769,33,1668
6461,87,4376
6332,45,2278
7055,779,38960
6327,23,1155
6840,58,2935
7136,28,1418
7057,2,120
7026,417,20854
6441,47,2398
7724,50,2550
7705,67,3368
7710,28,1421
7710,28,1437
6631,100,5018
6803,11,558
6295,1,63
7327,13,693
6690,77,3862
7129,30,1541
6565,159,7957
6565,166,8324
6551,186,9339
6680,127,6352
6649,84,4236
6649,84,4238
7577,19,975
7021,292,14635
7017,426,21327
6173,61,3054
7371,5,267
7371,5,295
7293,115,5786
7008,382,19104
7008,388,19411
6998,177,8871
7538,0,35
7010,1614,80736
7315,56,2801
7018,848,42425
7017,52,2642
7096,18,927
6879,101,5052
6468,74,3723
6571,205,10285
6980,198,9905
6690,139,6996
7006,106,5308
5925,12,625
6880,6,305
5891,20,1025
7055,52,2622
6553,108,5447
6494,77,3899
6311,106,5303
7001,728,36420
7723,22,1116
7393,58,2905
7134,56,2821
7753,42,2150
6763,102,5144
7010,978,48920
7055,494,24714
7026,697,34851
6318,108,5411
7127,23,1196
6769,206,10340
6939,87,4356
6939,92,4611
6002,29,1465
6830,198,9907
7336,0,32
7336,5,251
7309,4,249
6650,1,52
7085,12,635
6079,15,787
6828,68,3447
6118,85,4273
6192,73,3680
7049,40,2009
7389,0,8
7389,6,313
7751,41,2081
7003,749,37468
7004,838,41931
6888,241,12053
6888,242,12127
7280,16,801
7504,14,750
7019,301,15098
7491,57,2862
6779,49,2499
7019,140,7037
6149,65,3266
7003,1123,56184
6957,91,4565
5934,11,581
6669,123,6159
6360,111,5552
7142,50,2514
6356,123,6197
6911,30,1524
7048,103,5168
6401,11,582
6468,89,4458
7540,35,1761
7142,21,1076
7142,21,1090
5938,21,1095
6831,4,216
6831,6,301
6805,216,10812
6156,14,749
7315,9,468
7012,1614,80732
7011,278,13929
6521,105,5284
6031,196,9843
6117,9,498
7086,62,3104
7086,62,3142
6123,41,2082
7049,1508,75413
6004,179,8951
7565,217,10859
7565,217,10873
7020,605,30281
7637,1,93
6093,3,196
7487,163,8173
7142,46,2325
6663,138,6919
6793,16,830
7638,6,310
6835,125,6261
7419,39,1964
6611,99,4982
7085,17,874
6861,213,10656
6861,217,10887
6861,225,11269
6025,69,3473
7046,97,4875
6908,174,8748
7461,121,6076
7004,116,5841
7018,42,2126
7012,1321,66065
7003,817,40853
6059,81,4078
7057,10,542
7017,927,46364
7129,34,1727
7129,34,1736
7054,1602,80128
6866,68,3433
6528,20,1043
7130,55,2796
6785,216,10826
6785,217,10865
7397,0,21
7058,7,368
7641,67,3375
7491,32,1646
7434,167,8357
6173,16,835
7633,225,11271
6950,7,400
6831,189,9500
7349,280,14010
7145,19,983
7497,204,10216
7404,4,216
5933,53,2699
6696,4,247
6428,12,611
7480,15,758
7049,1770,88515
6799,16,821
6321,18,938
6861,189,9485
7384,13,664
6564,102,5140
6564,105,5281
7727,27,1358
6565,197,9871
6358,55,2754
6647,129,6473
6855,132,6623
6783,134,6715
7020,1709,85461
6589,77,3886
6589,172,8630
7542,3,182
7023,618,30917
7513,291,14591
6901,231,11596
7357,46,2320
7008,737,36861
7079,11,572
7020,1748,87424
6865,120,6024
6326,92,4624
7048,157,7862
6534,34,1722
7768,121,6058
6638,15,752
7049,549,27483
6553,167,8370
6776,186,9314
6354,34,1705
7054,62,3135
6689,85,4279
7145,71,3573
7004,639,31982
6446,23,1163
7507,55,2782
7001,1129,56456
7095,27,1363
7049,1245,62281
5905,51,2577
7375,8,433
7669,184,9228
7134,19,977
7560,97,4884
7080,1,66
7080,1,72
7023,1027,51371
6058,115,5751
7730,34,1745
7023,1201,60073
6958,37,1873
6958,53,2657
7023,1645,82274
6985,80,4005
7291,1,81
6629,22,1107
7293,101,5079
6958,140,7040
7129,6,311
7116,39,1985
7023,1317,65888
6563,77,3872
7126,66,3315
6919,174,8741
6779,56,2804
7583,5,285
7400,245,12258
7139,50,2522
6022,27,1384
6022,30,1546
6022,32,1642
6380,52,2608
6940,27,1400
6828,94,4744
6972,80,4012
6972,84,4249
7085,25,1256
7080,7,388
5959,30,1545
7021,255,12785
7012,683,34171
7049,1556,77840
7141,58,2927
7141,58,2941
6867,32,1616
6773,13,679
6803,14,701
7014,992,49641
7023,340,17049
7142,64,3239
7021,87,4396
7417,55,2797
6163,49,2477
6163,52,2622
6830,201,10060
6489,37,1885
7127,5,299
6865,60,3046
6533,97,4895
6566,54,2710
6973,57,2861
6366,86,4315
6366,7,373
5912,104,5203
7136,73,3679
7487,97,4855
6616,42,2139
7442,161,8052
6656,68,3433
6656,68,3450
6801,59,2997
6907,25,1273
7145,66,3329
6647,64,3207
6936,62,3143
6936,62,3148
6936,121,6070
7359,9,471
6444,158,7912
7744,102,5124
7744,113,5700
7373,47,2381
7017,1012,50642
6521,7,386
6801,42,2107
7018,396,19837
7012,225,11276
7012,227,11364
6921,35,1798
7001,793,39675
6176,52,2636
6176,133,6651
7014,979,48975
6101,64,3210
6493,1,73
6219,44,2201
6978,189,9463
6936,11,557
6936,23,1164
6905,128,6450
6154,13,678
6433,8,439
6959,147,7399
6837,224,11202
7671,1,91
6446,60,3012
6798,84,4233
6528,58,2912
6285,18,939
7017,380,19048
6341,131,6552
5911,57,2868
5911,75,3754
7564,30,1546
7008,240,12028
7142,69,3458
7633,165,8286
6854,45,2280
7095,3,174
7022,200,10004
6480,153,7680
7017,633,31689
6985,46,2350
6111,1,80
7049,701,35100
7124,14,706
7124,15,799
7020,599,29967
7021,395,19783
7528,179,8952
6625,10,544
7115,37,1872
7115,37,1890
7130,51,2555
7054,261,13062
6785,96,4809
6668,123,6185
6861,160,8039
5921,139,6958
6544,118,5935
7085,55,2785
7085,56,2820
7112,30,1507
7574,29,1459
6639,63,3161
7084,37,1898
6377,1,67
7739,8,439
6801,98,4901
5930,2,139
7113,64,3227
6923,60,3035
6923,63,3173
7421,95,4780
6162,178,8916
7529,73,3692
7049,1646,82342
6153,0,2
6429,62,3144
7108,13,691
7012,1208,60445
5940,43,2151
7049,1871,93559
6487,14,719
6487,18,908
7136,51,2567
7096,32,1641
7372,27,1384
7130,15,776
7023,1101,55092
7023,1102,55102
7132,25,1265
7132,25,1281
6583,184,9227
6055,43,2165
6055,43,2185
7012,1234,61733
6229,5,270
6769,112,5621
6871,9,466
7004,276,13825
6777,173,8688
6777,179,8990
7001,86,4315
7001,89,4484
7011,214,10701
7145,57,2870
6752,224,11229
6442,12,631
6507,146,7324
7391,394,19726
5914,81,4051
6756,127,6371
7627,53,2687
6683,56,2820
7385,6,344
6114,185,9299
6406,179,8981
7398,79,3994
7760,16,803
5462,117,5859
7054,307,15382
5911,63,3178
6052,32,1643
6953,168,8442
6953,170,8511
6953,172,8617
6321,97,4856
6161,1,59
7565,177,8866
6091,33,1692
7054,1948,97437
7021,327,16356
6168,53,2674
6341,99,4952
7020,112,5607
7513,117,5876
7565,231,11592
7107,79,3957
6690,55,2762
7113,42,2142
7022,172,8647
7021,511,25567
7001,762,38138
6409,2,120
7478,125,6286
7334,69,3493
7334,70,3502
7054,1722,86149
7054,1725,86286
6641,1,100
7461,117,5880
7461,117,5895
7744,45,2265
6591,77,3875
6830,174,8743
7004,934,46705
7004,1392,69605
6427,112,5619
7004,461,23076
7079,14,743
7014,774,38715
7020,347,17387
7293,127,6379
7054,146,7347
6611,138,6911
6579,48,2415
6579,49,2461
7764,111,5552
5966,104,5207
5966,112,5618
5971,62,3110
7638,15,779
7302,26,1302
5897,37,1883
6525,26,1342
7770,20,1039
7022,84,4249
7020,437,21876
7416,41,2062
6803,24,1220
7139,20,1010
7411,137,6881
7411,139,6955
5891,81,4054
6871,101,5084
6664,103,5162
7648,12,609
7165,10,527
5929,52,2604
6692,3,172
6956,18,950
6600,157,7868
7645,139,6964
6506,137,6869
6978,7,383
7645,70,3503
7645,124,6218
5952,5,297
7003,1256,62819
6572,191,9551
5930,77,3885
7054,1149,57486
6811,55,2791
6199,52,2619
6563,42,2138
6288,175,8777
7436,122,6104
7699,2,107
7019,17,868
6671,3,188
7020,104,5242
6404,47,2356
7016,241,12053
7290,9,479
6478,69,3482
7020,525,26276
7085,53,2658
6091,74,3750
7495,21,1056
7017,1378,68942
6457,163,8185
7003,78,3901
7023,949,47483
6777,105,5290
6921,102,5107
6956,86,4304
6956,86,4309
6350,37,1881
7516,6,330
7003,1734,86738
7418,26,1340
6989,2,136
6571,130,6515
6787,153,7696
7730,12,617
7054,922,46103
5906,201,10066
6776,197,9867
7054,1429,71480
6837,53,2692
6752,148,7418
6953,6,305
6683,73,3661
6579,82,4135
6579,83,4166
7408,25,1264
7504,98,4917
7025,120,6028
6787,0,24
6559,73,3670
7049,1222,61112
7299,22,1140
6298,92,4619
7497,300,15002
6091,45,2285
7371,227,11397
7295,45,2280
7648,27,1384
7414,29,1465
6946,18,911
6946,19,971
6589,68,3420
6749,114,5723
6953,140,7010
5966,155,7789
6235,105,5283
6412,123,6178
6004,160,8015
6787,216,10848
6989,20,1039
6349,40,2040
6375,46,2328
7018,92,4628
7457,131,6594
6649,114,5744
6534,30,1518
6527,179,8993
7014,1565,78275
6111,54,2733
6907,69,3487
6503,48,2429
7023,4,239
7017,1553,77656
6953,83,4182
7345,13,663
6861,44,2238
6861,46,2345
6922,26,1329
7457,223,11186
7633,138,6908
7026,761,38077
7768,31,1551
6780,6,311
6882,76,3843
7023,913,45696
7143,2,102
7023,1786,89308
7010,1181,59083
7478,32,1618
7391,67,3389
7471,42,2125
7471,44,2209
6763,108,5402
6440,60,3018
6154,33,1695
6276,13,672
7022,116,5807
6157,59,2978
6666,138,6937
6559,13,679
6098,26,1339
6348,23,1193
7141,44,2224
6380,10,521
6300,183,9157
7103,6,301
7103,6,326
7017,1351,67598
7001,1156,57821
6475,47,2366
7671,21,1074
7023,1329,66466
7372,68,3401
6658,10,542
6795,44,2243
7577,73,3676
7010,540,27030
6348,74,3719
6540,0,22
6533,93,4688
7135,12,642
6168,124,6229
6752,196,9810
6362,97,4854
7014,46,2311
6388,75,3761
7016,390,19526
6952,22,1102
6347,38,1932
6286,121,6071
6230,22,1106
6991,161,8051
7373,80,4026
7373,83,4154
6521,78,3926
6945,13,679
6919,201,10078
7017,9,491
7345,67,3361
6669,78,3917
6669,81,4053
7012,51,2582
7165,8,401
7165,9,460
7547,25,1300
7084,35,1764
6934,4,234
6347,8,406
7457,44,2209
6748,84,4233
6748,91,4578
6235,86,4323
6235,89,4472
6932,124,6244
6799,7,398
6429,57,2854
6603,24,1238
6603,26,1303
7096,35,1799
6369,32,1618
6813,9,493
7014,1305,65265
6440,156,7837
6664,230,11503
7014,253,12661
7385,180,9037
6631,28,1413
6321,1,91
6105,93,4687
6763,135,6764
6763,137,6890
6763,139,6953
7695,52,2604
6776,123,6185
7026,560,28010
7628,35,1795
6763,78,3903
7054,1001,50098
6973,94,4748
7290,18,915
7020,649,32464
6468,7,397
7524,18,903
6801,155,7787
6801,160,8022
6577,48,2429
7355,7,391
7058,3,190
6448,61,3075
6098,121,6100
7742,246,12348
7143,58,2941
5904,3,160
6490,106,5341
7016,403,20189
7020,1408,70419
6336,93,4674
6979,141,7090
7107,27,1390
7520,72,3639
7055,53,2690
6383,53,2664
6529,92,4634
5936,15,774
7466,63,3172
6763,37,1872
7146,24,1229
6314,48,2416
6529,5,295
6609,66,3327
7694,41,2054
7694,46,2322
7049,237,11857
7165,3,170
6446,201,10079
6600,1,52
6854,36,1802
6861,107,5392
6382,146,7313
7165,46,2303
7165,46,2317
6936,72,3649
7054,614,30725
7054,618,30925
6917,184,9217
6404,120,6042
6549,25,1258
6758,34,1709
7003,108,5425
6508,49,2485
7309,30,1550
6975,1,68
6975,4,237
7129,24,1245
6376,138,6924
7526,43,2194
6681,22,1120
6681,24,1202
6769,130,6522
7021,808,40405
7054,327,16358
6979,33,1695
6979,33,1700
6649,124,6229
7026,618,30931
7020,1000,50026
7438,34,1708
7303,1,74
7480,2,118
7738,42,2137
6021,171,8597
7055,176,8812
6998,99,4955
7391,303,15189
7627,63,3167
7627,66,3341
6934,165,8289
6387,192,9642
6387,201,10095
6916,220,11012
7499,96,4801
7084,42,2117
6946,33,1663
6773,27,1354
6528,76,3821
6686,73,3653
6773,76,3826
7003,1245,62260
7003,1245,62290
7014,1251,62562
6548,20,1047
6544,94,4719
7345,50,2524
6918,101,5055
6918,113,5670
6410,109,5476
7010,367,18351
7008,501,25062
6647,159,7992
7013,179,8993
7095,71,3595
6972,102,5132
7018,695,34792
7165,12,625
6972,21,1070
7107,80,4015
7017,1479,73989
7017,1487,74370
6944,17,891
6958,156,7831
6348,106,5327
6946,10,507
7391,386,19314
6888,244,12216
7026,877,43896
7010,1515,75783
7136,61,3097
6350,112,5618
6350,113,5669
7588,121,6092
7145,5,260
7723,35,1788
6783,151,7567
7720,9,456
7021,754,37732
7716,10,519
6503,92,4620
6441,124,6218
7463,3,189
6800,1,75
7017,68,3431
6203,70,3508
7466,198,9950
6972,119,5954
6972,125,6280
6874,15,751
7018,463,23154
6915,22,1130
7132,43,2154
6347,119,5995
6080,44,2206
7136,70,3508
6765,16,845
6765,19,964
6362,94,4724
7704,48,2413
6866,117,5864
6332,112,5639
6387,71,3570
6642,103,5161
6125,97,4867
7018,645,32253
6980,190,9507
5914,77,3865
6426,170,8537
6426,171,8576
7107,38,1919
7012,921,46077
6992,21,1093
6896,41,2054
6551,209,10462
6300,47,2362
6102,120,6027
6161,17,891
6989,27,1360
6989,28,1406
6564,222,11112
5929,64,3242
6957,151,7574
6614,115,5764
6974,123,6172
7054,1390,69528
6602,25,1266
7096,39,1965
7096,40,2050
6140,2,134
7457,251,12553
6803,131,6558
6761,68,3431
7021,414,20732
6642,41,2056
6503,32,1642
6043,139,6951
6698,144,7228
6698,145,7256
7004,1673,83668
7498,65,3266
6902,42,2130
7496,36,1837
7369,24,1220
7003,1360,68023
6111,10,536
6111,19,992
