run_number,subrun_number,event_number,signal_score,weight
7116,2,114,0.0135530419647693,0.552802
7013,222,11121,0.0084584988653659,1.3009437142
7017,579,28965,0.7345384359359741,4.660857675260001
7011,143,7175,0.0498708970844745,0.74196
7011,143,7178,0.0137301879003643,0.50343
7011,143,7181,0.0130755649879574,0.962794
7017,1706,85330,0.0063890595920383,1.2318660647200002
7112,9,456,0.0302748717367649,0.877913
7020,47,2373,0.0262392200529575,1.10735
7014,1501,75053,0.6904106140136719,1.79867
7001,525,26274,0.0054197185672819,0.737211
7017,96,4844,0.0111612100154161,1.14736
7020,412,20647,0.0023074315395206,1.02905048838
7017,1075,53792,0.4765315651893616,0.9728100354
7017,1075,53798,0.0775710344314575,0.70411344801
7017,1652,82634,0.0362217389047145,1.00205184437
7014,1543,77169,0.0234407447278499,1.11486921
7017,142,7137,0.882540762424469,1.03095
7001,731,36563,0.6532901525497437,0.981965
7014,1740,87044,0.0029414612799882,0.905982
7020,265,13289,0.054930955171585,1.099
7016,348,17426,0.0488872379064559,5.771782812
7020,253,12689,0.2983609437942505,1.01791
7020,408,20413,0.0196198597550392,1.22306
7017,216,10833,0.0020785082597285,1.0
7017,216,10838,0.0019096487667411,1.01482
7020,85,4269,0.0134496539831161,0.97342
7017,487,24379,0.4153428375720978,0.91876755696
7016,130,6527,0.0417618155479431,8.176725354e-16
7016,71,3560,0.0111676519736647,1.2170118746
7020,403,20171,0.0777093395590782,1.02333
7003,1707,85374,0.0396838448941707,1.0
7003,1707,85400,0.0666044205427169,0.843058
7107,38,1935,0.1823972165584564,0.884326
7016,299,14952,0.9570816159248352,1.4043467751999998
7012,1460,73029,0.0119344210252165,1.00231
7014,1713,85674,0.4993837475776672,1.20363
7014,1713,85684,0.0182467382401227,0.851962
7017,243,12190,0.1055598184466362,0.992723
7020,1957,97872,0.0115699544548988,1.11204
7017,93,4666,0.1482968926429748,1.8335850551999997
7017,1458,72939,0.0107139348983764,1.03338
7017,763,38177,0.0044083320535719,0.73137468864
7017,898,44921,0.0161117911338806,5.891146653
7020,134,6745,0.0209589023143053,0.67338188976
7012,1687,84362,0.1941612213850021,0.7872342287
7017,100,5038,0.2412220537662506,1.16896
7017,1711,85553,0.0073861754499375,0.940406
7017,1711,85568,0.3914546370506286,1.17421
7017,327,16358,0.0114373220130801,0.660483
7003,1750,87532,0.0061794435605406,1.03169
7011,69,3489,0.129661276936531,0.731544
7016,245,12280,0.1142998933792114,0.71829876558
7017,62,3131,0.0288428291678428,0.522929
7003,1551,77568,0.0911261066794395,1.1846581987999998
7020,454,22711,0.0041987774893641,1.01354
7017,531,26592,0.1959708482027053,0.909968
7016,4,208,0.00219829659909,1.225480503
7016,4,244,0.1491758972406387,1.07606
7001,937,46889,0.0032179383561015,2.5658347968
7017,36,1803,0.0317333377897739,1.02254
7017,405,20263,0.9857634902000428,0.946314
7017,1462,73124,0.0265827402472496,0.960055
7017,766,38347,0.0020934976637363,3.84723787968e-06
7017,1583,79199,0.0263424906879663,1.1619689256
7001,458,22923,0.0219632796943187,1.14195
7014,1128,56414,0.0171034652739763,1.07409
7012,1634,81709,0.0531228110194206,0.925421
7020,203,10176,0.1343337446451187,1.01769717392
7011,298,14918,0.067336194217205,1.289909368
7017,701,35078,0.024816969409585,0.554426
7017,1723,86165,0.0059455540031194,0.877913
7016,69,3494,0.0048151947557926,0.7026204828
7016,41,2073,0.0495696999132633,0.963861
7017,899,44959,0.0132288830354809,1.01660569574
6999,35,1755,0.9352818131446838,1.10026
6999,35,1772,0.0105661703273653,1.04161
6999,35,1774,0.0116321220993995,0.995294
7017,1302,65129,0.0396877489984035,1.61273630616e-18
7011,216,10824,0.0171280037611722,0.946644
7017,621,31056,0.0951667353510856,0.76306129364
7017,721,36092,0.0242761299014091,0.634388
7001,618,30916,0.0030252351425588,1.01239
7001,618,30921,0.0394626334309577,1.4810341208000002
7003,1602,80118,0.0021774293854832,1.09056
7014,1558,77920,0.0005169892683625,0.6443381261500001
7001,665,33286,0.0117427622899413,1.00324
7017,1155,57786,0.0092622842639684,1.18768
7020,90,4519,0.876643717288971,0.85718903625
7020,90,4525,0.0456691980361938,0.897284
7020,90,4526,0.219132050871849,0.716963
7011,155,7754,0.0230987835675477,0.910006
7011,155,7792,0.0061480603180825,1.2200598462
7011,259,12953,0.0104149617254734,0.595651
7020,148,7402,0.0260820370167493,1.12528
7017,104,5246,0.7504072785377502,1.11927
7017,1296,64827,0.0384151525795459,1.02444
7012,1560,78003,0.02581119351089,0.696512
7017,140,7036,0.0073109017685055,0.82834642212
7012,1450,72549,0.0009808657923713,0.930532
7017,27,1358,0.12049450725317,1.33465
7017,143,7162,0.2000620812177658,0.410614
7001,1126,56349,0.0172621645033359,0.968109
7003,1446,72333,0.0068965116515755,0.801435
7017,293,14660,0.0219601988792419,0.341828
7017,244,12230,0.0308325551450252,1.02632
7105,2,133,0.092256024479866,1.07521
7017,80,4047,0.0142321027815341,1.01193
7017,1713,85665,0.0039695124141871,1.08407
7017,1713,85678,0.0122072650119662,0.851083
7011,171,8589,0.083022266626358,1.2012888678
7017,509,25451,0.0196646079421043,0.981754
7017,509,25500,0.0071332724764943,0.59821459796
7017,888,44445,0.3494332432746887,0.336739
7017,76,3828,0.0063503058627247,0.884838
7017,1304,65238,0.1276116967201233,0.5306922203209999
7003,1596,79837,0.2974772751331329,1.00249
7017,251,12571,0.9928505420684814,1.2023903586
7017,384,19234,0.067114420235157,1.0
7017,911,45583,0.0087759057059884,1.3469984136
7020,316,15832,0.8066364526748657,0.91712
7020,1896,94826,0.0150735350325703,0.97131310332
7017,639,31951,0.0137538556009531,0.862102
7017,1689,84493,0.0078196097165346,1.05139
7014,954,47703,0.0733746066689491,1.2865491303
7016,325,16284,0.0286168120801448,0.70672534755
7017,265,13278,0.0181259308010339,0.686881
7017,17,894,0.1566540598869323,1.00357
7017,56,2805,0.3794878721237182,0.681807
7014,1437,71888,0.0044761882163584,1.083976476
7013,36,1819,0.1806739419698715,1.0127
7003,1382,69105,0.1778773963451385,1.3526540856000002
7017,1468,73406,0.4412707090377807,0.716218
7017,1468,73417,0.0278425756841897,1.7166213595000002
7017,1468,73426,0.1304184347391128,1.02659
7020,1019,50956,0.002352469600737,1.07524
7020,1019,50971,0.0020723673515021,0.499387
7017,801,40084,0.0200620368123054,0.839803
7017,31,1564,0.0543361157178878,1.21621093073
7001,1158,57939,0.0471209995448589,0.958329
7001,910,45524,0.0043951547704637,0.917262
7017,826,41305,0.0478305667638778,0.56043
6999,47,2400,0.1353264451026916,0.977348
7017,407,20390,0.0446667149662971,2.8628807557999996e-15
7016,394,19707,0.0040108570829033,0.679201
7017,117,5871,0.0732439756393432,0.043832769192
7017,210,10518,0.2155595868825912,0.939797
7001,436,21824,0.0428737252950668,1.00294
7012,1417,70891,0.0962121412158012,1.08898
7016,225,11263,0.0017717033624649,0.8727474471000001
7012,1624,81246,0.0198516063392162,0.59175247592
7017,68,3421,0.0631952360272407,1.2022952365
7017,68,3431,0.0287813730537891,0.63332714991
7017,213,10681,0.0452094376087188,0.77222191104
7017,1300,65036,0.0015760004753246,1.0169
7017,350,17540,0.028672881424427,1.134067883
7020,1888,94410,0.0221958309412002,0.611307
7020,1888,94418,0.002558987122029,0.692349
7017,1490,74542,0.0575676262378692,1.01156
7017,295,14767,0.0409908257424831,0.330247
7017,295,14787,0.0841929167509079,0.539031
7017,1515,75763,0.0789906233549118,1.08803
7020,485,24263,0.8388428688049316,0.860157
7016,347,17377,0.0009698003996163,1.2745670896
7001,567,28396,0.7409331202507019,1.01274
7017,1246,62309,0.230471059679985,0.7363885089400001
7017,514,25705,0.0266263391822576,0.88085170875
7017,1543,77193,0.0460687391459941,1.2548510706
7020,340,17005,0.0032961266115307,1.3850419588
7014,1620,81023,0.0597551129758358,0.818355
7020,170,8529,0.0283152218908071,0.911308
7017,1678,83913,0.0019951008725911,0.99588694894
7017,1211,60598,0.0020187878981232,1.28707
7020,193,9655,0.0173869282007217,0.89882
7017,229,11474,0.0037016461137682,0.764864
7020,152,7606,0.0302500892430543,1.00296
7017,1487,74370,0.0133435353636741,0.92316
7011,283,14182,0.3738726079463959,1.6161909408
7016,152,7609,0.0160321854054927,1.4679124999
7017,1173,58661,0.0624456144869327,1.2600848316
7001,380,19043,0.0117804901674389,1.154850257
7012,1664,83240,0.2105486392974853,1.18605
7016,25,1285,0.0026016221381723,0.960035
7017,168,8424,0.0277820955961942,1.09691
7017,1217,60854,0.0329381898045539,0.7920735576
7001,264,13244,0.0126996748149394,0.949943
7016,99,4984,0.0041590314358472,1.1810402528
7017,1045,52280,0.0585524179041385,0.978218
7012,1724,86212,0.0107757505029439,0.877913
7017,87,4364,0.5568192005157471,0.374536
7001,32,1607,0.0017069285968318,0.975678
7001,32,1611,0.0075452304445207,0.5432922880800001
7017,1488,74419,0.005430266726762,0.816813
7017,1318,65913,0.0287900120019912,0.979178
7017,1318,65929,0.010348062030971,0.47800681780000004
7012,1293,64662,0.029017936438322,0.57211506212
7017,535,26788,0.010091034695506,1.0720440402
7014,1559,77979,0.2001862674951553,1.1147
7003,1728,86406,0.0205298922955989,1.03465
7020,479,23955,0.0047024032101035,1.0645659304
7020,479,23982,0.9240627884864808,0.522278
7016,318,15909,0.0018951640231534,0.8173636459199999
7013,205,10288,0.0150313787162303,0.93033303469
7016,30,1517,0.0052570332773029,1.01205
7012,1622,81139,0.0951453149318695,1.3194
7017,1663,83173,0.2091722339391708,0.510275981865
7017,366,18329,0.0317668356001377,0.903109
7017,660,33022,0.0497339591383934,1.3092947205
7013,133,6655,0.0031155787874013,3.8260961908799995
7017,198,9908,0.0545634254813194,1.02878851296
